source,target
11,49238
49238,11
11,421877
11,817566
11,852102
11,1488042
144,18657
18657,144
144,64404
64404,144
144,223916
223916,144
144,275520
275520,144
144,436705
144,438611
144,469743
469743,144
144,718332
718332,144
144,822870
822870,144
144,1462781
1462781,144
144,1471177
1471177,144
144,1483544
1483544,144
168,64404
168,331250
168,507345
168,861701
168,908462
185,1179
1179,185
185,32537
32537,185
185,40026
185,264507
264507,185
185,267081
267081,185
185,412120
412120,185
185,466914
185,801037
801037,185
185,840573
840573,185
185,869539
869539,185
185,915795
915795,185
185,919519
919519,185
185,933581
933581,185
185,1031561
1031561,185
185,1454463
1454463,185
185,1495443
1495443,185
198,42147
42147,198
198,226618
198,229710
229710,198
198,235245
198,883148
883148,198
198,899653
198,1223093
198,1301500
1301500,198
198,1461717
1461717,198
198,1462781
1462781,198
198,1471177
1471177,198
198,1483544
1483544,198
232,64394
351,238468
351,456861
456861,351
351,662571
351,897428
351,901161
351,1454988
351,1455956
1455956,351
351,1488100
351,1495774
1495774,351
392,40026
392,436705
392,935228
392,973399
392,1101579
392,1508922
392,1541098
1541098,392
586,25915
25915,586
586,424172
424172,586
586,497444
497444,586
586,908462
586,1305793
1305793,586
586,1313671
1313671,586
586,1696580
1696580,586
612,52566
751,436705
751,551781
867,233224
867,466591
867,474686
867,489915
867,908462
867,935306
935306,867
867,1467578
867,1544204
870,371888
895,811685
811685,895
895,818788
818788,895
985,466591
985,908462
995,860709
1032,551781
1032,798769
798769,1032
1032,908462
1179,185
185,1179
1179,65328
65328,1179
1179,436705
1179,840573
840573,1179
1179,915795
1179,935425
935425,1179
1179,1467578
2288,466556
466556,2288
2288,477326
477326,2288
2288,868587
868587,2288
2288,1463876
1463876,2288
2288,1544204
2420,27825
27825,2420
2420,49804
2420,50292
50292,2420
2420,237363
2420,282477
2420,454482
454482,2420
2420,458522
458522,2420
2420,459124
459124,2420
2420,478114
2420,490069
490069,2420
2420,897428
2420,908462
2420,1271803
1271803,2420
2420,1454988
1454988,2420
2420,1497270
1497270,2420
2437,436705
436705,2437
2437,465643
2437,481419
481419,2437
2558,539629
539629,2558
2558,1524921
1524921,2558
2558,1707897
2584,283169
283169,2584
2584,867895
2584,897428
2584,908462
2584,987788
2597,33143
2597,465080
2597,673487
673487,2597
2597,790678
2597,790957
2597,791023
2597,793856
2597,794211
2597,1449023
2615,238116
2615,239379
2615,242992
2615,245855
2615,436705
2615,439589
2615,450641
450641,2615
2615,455832
455832,2615
2615,466591
2615,466813
2615,467158
2615,497444
2615,797778
797778,2615
2615,827647
827647,2615
2615,856032
856032,2615
2615,889435
2615,915795
2615,1456218
1456218,2615
2615,1456478
2615,1458528
2615,1472050
2615,1490147
2615,1493393
2646,1469834
2646,1508922
2778,436705
2778,867951
2786,3480
2786,43715
43715,2786
2786,245897
245897,2786
2786,822502
822502,2786
2786,1508922
2806,51742
2806,55536
2806,436090
2806,454587
454587,2806
2806,800268
800268,2806
2806,802368
802368,2806
2806,803368
803368,2806
2806,848477
2806,867790
867790,2806
2806,897428
2806,901161
2806,908462
2806,1455956
1455956,2806
2806,1486234
1486234,2806
2806,1490020
1490020,2806
2806,1544204
3001,43715
3001,71671
3001,71735
3001,393505
3001,401077
3001,478114
3001,895614
3001,908462
3001,1563903
3001,1728846
3035,849238
3035,908462
3091,217694
3091,222077
222077,3091
3091,489852
489852,3091
3091,490899
3091,747405
747405,3091
3091,1483433
1483433,3091
3091,1487063
1487063,3091
3105,33641
3105,436705
3105,1524921
3214,396057
3214,436705
3214,488201
3393,908462
3480,437124
437124,3480
3480,802368
3480,1515883
1515883,3480
3555,11988
3555,435003
3555,551781
3555,991199
3580,290857
290857,3580
3659,130551
3659,397503
3659,436705
3659,1600240
3782,32794
32794,3782
3782,398578
3782,592370
592370,3782
4098,275541
275541,4098
4098,436705
4098,575717
4098,1614449
1614449,4098
4114,920230
4167,908462
4167,971514
971514,4167
4305,16381
16381,4305
4305,40484
40484,4305
4305,71735
71735,4305
4305,76260
76260,4305
4305,88722
88722,4305
4305,121781
121781,4305
4305,123440
123440,4305
4305,180683
180683,4305
4305,280538
280538,4305
4305,352126
352126,4305
4305,423260
423260,4305
4305,423987
423987,4305
4305,425661
425661,4305
4305,430579
430579,4305
4305,430876
430876,4305
4305,435003
435003,4305
4305,439527
439527,4305
4305,451339
451339,4305
4305,488766
488766,4305
4305,489970
489970,4305
4305,504170
504170,4305
4305,512665
512665,4305
4305,808954
808954,4305
4305,809640
809640,4305
4305,811381
811381,4305
4305,837181
837181,4305
4305,858817
858817,4305
4305,868325
868325,4305
4305,894148
894148,4305
4305,913827
913827,4305
4305,973399
4305,1158151
1158151,4305
4305,1226909
1226909,4305
4305,1268616
1268616,4305
4305,1301184
1301184,4305
4305,1465207
1465207,4305
4305,1485807
1485807,4305
4305,1488373
1488373,4305
4305,1518848
1518848,4305
4305,1666926
1666926,4305
4305,1744215
1744215,4305
4451,20651
4451,908462
4451,913827
913827,4451
4459,926845
926845,4459
4473,436705
4587,40026
4587,46315
4587,57714
4587,80590
4587,371888
4587,433403
4587,436705
4587,551781
4587,747104
747104,4587
4587,948447
948447,4587
4587,1108282
4587,1119064
4587,1257069
1257069,4587
4587,1488042
4652,1134209
4726,18309
4726,19084
4726,76438
4726,120947
4726,283254
4726,333916
4726,342345
4726,425172
4726,458522
4726,459124
4726,625076
4726,683905
683905,4726
4726,844603
4726,908462
4726,936508
4726,1230290
4726,1488300
4733,466914
4733,551781
4733,613703
4733,908462
4757,44760
44760,4757
4757,228775
228775,4757
4757,312542
312542,4757
4757,378140
378140,4757
4757,576352
576352,4757
4757,628015
628015,4757
4757,832325
832325,4757
4757,924433
4757,1250921
1250921,4757
4757,1266489
1266489,4757
4757,1623839
1623839,4757
4758,925914
925914,4758
4758,935228
4765,908462
4785,34095
4785,70501
4785,790467
790467,4785
4785,908462
4837,218368
218368,4837
4837,503951
503951,4837
4837,1595826
4926,27214
27214,4926
4926,554234
4926,894148
4926,899653
4947,689695
689695,4947
4947,1507745
1507745,4947
4947,1631930
1631930,4947
5069,9783
9783,5069
5069,64788
64788,5069
5069,379599
379599,5069
5069,383974
383974,5069
5069,428876
428876,5069
5069,432074
432074,5069
5069,443177
443177,5069
5069,617344
617344,5069
5069,839118
839118,5069
5069,901672
901672,5069
5069,907345
907345,5069
5069,942568
942568,5069
5069,973399
5069,1038626
1038626,5069
5069,1115155
1115155,5069
5069,1237447
1237447,5069
5069,1289580
1289580,5069
5069,1297877
1297877,5069
5069,1488482
1488482,5069
5069,1586694
1586694,5069
5085,371888
5085,495544
5085,1647609
1647609,5085
5437,895614
5467,436705
5467,539625
5553,40540
40540,5553
5553,309970
309970,5553
5553,371306
371306,5553
5553,465080
465080,5553
5553,558958
558958,5553
5553,644749
644749,5553
5553,866537
866537,5553
5553,1124183
1124183,5553
5553,1129945
1129945,5553
5553,1477826
1477826,5553
5553,1507398
5616,1234624
1234624,5616
5781,40026
5781,466591
5781,1572919
1572919,5781
5863,467108
467108,5863
6001,55536
55536,6001
6001,229710
6001,802368
802368,6001
6001,849290
849290,6001
6001,1483980
1483980,6001
6001,1486748
1486748,6001
6001,1544204
6001,1555274
1555274,6001
6006,1075592
1075592,6006
6006,1257127
1257127,6006
6099,71735
6099,120947
6099,223749
223749,6099
6099,494249
494249,6099
6099,646560
646560,6099
6099,894148
6099,897207
6099,908462
6099,1672859
6205,435534
435534,6205
6205,908462
6205,1545965
1545965,6205
6225,7173
7173,6225
6225,55536
6225,341640
6225,466524
466524,6225
6225,888463
6225,890431
6225,897207
6225,915795
6225,1254017
6225,1458889
1458889,6225
6225,1481133
1481133,6225
6225,1501214
1501214,6225
6225,1544204
6225,1571087
1571087,6225
6225,1596498
6293,500937
500937,6293
6293,516842
516842,6293
6293,1691159
1691159,6293
6325,61813
61813,6325
6453,1272687
1272687,6453
6486,71735
6486,839273
6486,908462
6602,436705
6602,834989
6602,973399
6602,1030089
1030089,6602
6602,1446141
6602,1448963
1448963,6602
6602,1559062
1559062,6602
6789,249577
249577,6789
6789,430026
430026,6789
6823,71885
6823,427441
427441,6823
6823,436705
6823,466591
6823,895614
6823,898404
6823,973399
6823,1467578
6823,1484682
6852,40026
6852,421248
421248,6852
6852,436705
6852,1317616
6852,1572390
6904,1544204
7008,487605
487605,7008
7008,897207
7008,908462
7008,1630124
7122,54858
7122,908462
7173,6225
6225,7173
7173,436705
7173,908462
7173,1170017
7173,1446141
7173,1559290
7268,492249
7294,897428
7294,1524301
1524301,7294
7294,1544204
7411,71735
7411,93099
93099,7411
7411,276964
276964,7411
7411,280538
280538,7411
7411,298246
298246,7411
7411,451339
7411,457278
7411,459877
7411,688799
688799,7411
7411,796955
796955,7411
7411,808954
808954,7411
7411,881986
7411,1226909
7411,1233792
1233792,7411
7411,1309439
1309439,7411
7411,1347573
1347573,7411
7411,1429596
1429596,7411
7411,1530002
7411,1666926
1666926,7411
7418,16975
7418,68639
7418,558738
558738,7418
7418,592396
592396,7418
7418,663319
663319,7418
7418,800268
7418,808777
808777,7418
7418,815990
815990,7418
7418,851886
851886,7418
7418,897428
897428,7418
7418,908462
7418,920230
920230,7418
7418,1581910
1581910,7418
7531,40808
7531,908462
7531,1499217
7556,3480
7556,1458528
7586,1288158
1288158,7586
7586,1314976
1314976,7586
7592,497233
497233,7592
7837,371888
7837,435003
7837,908462
7837,1599016
1599016,7837
7887,450
7887,908462
7927,275221
275221,7927
7927,397678
397678,7927
7927,526366
526366,7927
7927,613794
613794,7927
7927,861007
861007,7927
8004,436705
8111,18043
8111,74875
8111,237927
237927,8111
8111,489915
489915,8111
8111,908462
8111,939811
939811,8111
8175,47081
47081,8175
8175,49493
49493,8175
